region,crop,year,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred
SNB,maize,2030,44.79686020684312,,,0.43506836855303077,,,,1929.1262359987222,1931.565330611139,1917.7294752250177,,,,,,108.83783475497833,,,,,275.1559484649124,,,187.31487864285708,,,,,,272.9500706374457,,,,31.754236607251173,,,,,,11.900356027153748,,28.649661076844694,33.691969484382504,23.60735266930685,,,,,1.9728371045232524,1.882611280602894,2.0628756832898683
SNB,rice,2021,,,,0.4022479678309536,26.983417609937213,,,1903.1757961522744,1903.1092607869205,1898.485177693582,,,,,,116.79624796761885,,,,,,,,175.09518006071414,,,,,,,,,,32.14423527916671,,,,,,10.087714935666725,31.3439086126591,,,,,268.86737534047614,,279.37554824561437,2.91,2.88,3.0585786533577046
SNB,rice,2022,,,,0.40402858331666813,26.96088512788097,,,1906.2924551157384,1906.2710463229441,1901.341109056918,,,,,,116.71421696132015,,,,,,,,174.9283046019479,,,,,,,,,,32.322842750757616,,,,,,10.28911950138746,31.32085208185415,,,,,268.889107321645,,278.94385964912306,3.0585786533577046,2.91,3.202206221369797
SNB,rice,2023,,,,0.4058091988023822,26.93835264582473,,,1909.4091140792034,1909.4328318589687,1904.197040420253,,,,,,116.63218595502144,,,,,,,,174.76142914318172,,,,,,,,,,32.50145022234858,,,,,,10.490524067108254,31.297795551049198,,,,,268.9108393028138,,278.51217105263186,3.202206221369797,3.0585786533577046,3.319400080345499
SNB,rice,2024,,,,0.4075898142880967,26.915820163768487,,,1912.5257730426674,1912.5946173949933,1907.0529717835889,,,,,,116.55015494872274,,,,,,,,174.59455368441547,,,,,,,,,,32.68005769393949,,,,,,10.691928632829047,31.274739020244247,,,,,268.9325712839826,,278.08048245614066,3.319400080345499,3.202206221369797,3.4096041210048647
SNB,rice,2025,,,,0.4093704297738108,26.893287681712245,,,1915.6424320061315,1915.7564029310179,1909.9089031469248,,,,,,116.46812394242403,,,,,,,,174.42767822564923,,,,,,,,,,32.8586651655304,,,,,,10.89333319854984,31.251682489439297,,,,,268.95430326515145,,277.64879385964946,3.4096041210048647,3.319400080345499,3.47894608340468
SNB,rice,2026,,,,0.4111510452595253,26.870755199656003,,,1918.7590909695955,1918.9181884670415,1912.7648345102598,,,,,,116.38609293612532,,,,,,,,174.260802766883,,,,,,,,,,33.037272637121305,,,,,,11.094737764270633,31.228625958634346,,,,,268.9760352463203,,277.21710526315815,3.47894608340468,3.4096041210048647,3.534786054937229
SNB,rice,2027,,,,0.41293166074523935,26.84822271759976,,,1921.8757499330604,1922.0799740030661,1915.6207658735957,,,,,,116.30406192982662,,,,,,,,174.09392730811675,,,,,,,,,,33.21588010871221,,,,,,11.296142329991369,31.205569427829396,,,,,268.99776722748913,,276.78541666666695,3.534786054937229,3.47894608340468,3.582421180332842
SNB,rice,2028,,,,0.41471227623095386,26.82569023554352,,,1924.9924088965245,1925.2417595390907,1918.4766972369316,,,,,,116.22203092352788,,,,,,,,173.9270518493505,,,,,,,,,,33.39448758030312,,,,,,11.497546895712162,31.182512897024445,,,,,269.019499208658,,276.35372807017575,3.582421180332842,3.534786054937229,3.6242821585291107
SNB,rice,2029,,,,0.41649289171666837,26.803157753487277,,,1928.1090678599885,1928.4035450751144,1921.3326286002666,,,,,,116.13999991722918,,,,,,,,173.76017639058432,,,,,,,,,,33.57309505189403,,,,,,11.698951461432955,31.159456366219494,,,,,269.0412311898268,,275.92203947368455,3.6242821585291107,3.582421180332842,3.6610453281735564
SNB,rice,2030,,,,0.41827350720238243,26.780625271431035,,,1931.2257268234534,1931.565330611139,1924.1885599636025,,,,,,116.05796891093047,,,,,,,,173.59330093181808,,,,,,,,,,33.75170252348494,,,,,,11.900356027153748,31.136399835414544,,,,,269.06296317099566,,275.49035087719324,3.6610453281735564,3.6242821585291107,3.693042574572262
SNB,wheat,2021,,44.39385854802086,,0.560415323389293,,,,,1879.821109748873,,134.9920021050616,,,152.78368980661446,,,,,117.20031440350886,,,1882.9887350701752,,,,,,,,,261.7611729214765,261.8371518488242,,71.08000223892918,,,0.05513315405205965,,,,,20.778372848937863,29.118420649019612,12.43832504885618,,,,,2.38637455877235,2.7039886826306,2.49843163741016
